User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Age,Gender,Device,Plan Duration,Total Watch Time
58,Premium,20.99,2021-11-28,2022-09-18,61,Male,Tablet,90,239
59,Premium,20.99,2022-12-19,2023-06-13,46,Female,Mobile,60,420
60,Basic,5.99,2022-12-28,2023-05-03,79,Male,Desktop,90,1316
61,Basic,5.99,2022-12-12,2023-06-10,61,Male,Smart TV,90,657
62,Standard,16.49,2022-03-03,2023-06-23,20,Male,Mobile,90,176
63,Basic,5.99,2022-10-17,2023-05-09,34,Female,Laptop,60,1126
64,Standard,16.49,2022-02-24,2022-12-08,29,Female,Laptop,60,1794
65,Premium,20.99,2022-04-14,2022-09-08,29,Other,Desktop,30,180
66,Standard,16.49,2022-05-02,2023-07-02,63,Female,Laptop,30,87
67,Basic,5.99,2023-01-24,2023-03-26,44,Male,Mobile,60,89
68,Standard,16.49,2023-01-17,2023-01-29,40,Other,Tablet,90,181
69,Premium,20.99,2021-10-29,2023-03-13,61,Male,Mobile,60,30
70,Standard,16.49,2022-02-15,2023-06-01,60,Male,Smart TV,30,475
71,Premium,20.99,2023-03-04,2023-07-17,35,Female,Mobile,60,154
72,Premium,20.99,2022-06-16,2022-11-13,17,Female,Desktop,30,151
73,Basic,5.99,2022-07-18,2022-08-12,48,Female,Laptop,30,253
74,Basic,5.99,2023-07-11,2023-07-14,21,Male,Laptop,60,200
75,Premium,20.99,2022-07-09,2023-07-09,59,Female,Smart TV,60,525
76,Basic,5.99,2023-02-28,2023-06-23,26,Female,Tablet,60,192
77,Standard,16.49,2022-05-13,2023-01-14,49,Female,Smart TV,60,525
78,Premium,20.99,2022-08-24,2023-03-21,64,Male,Smart TV,60,223
79,Standard,16.49,2022-09-14,2022-10-31,28,Male,Tablet,30,100
80,Basic,5.99,2023-04-20,2023-05-06,26,Male,Laptop,90,530
81,Standard,16.49,2022-05-03,2023-01-25,30,Other,Mobile,30,61
82,Standard,16.49,2022-03-04,2022-10-20,24,Male,Smart TV,60,390
83,Premium,20.99,2021-11-07,2022-08-08,35,Male,Desktop,60,119
84,Basic,5.99,2022-02-06,2023-07-08,27,Male,Laptop,90,543
85,Premium,20.99,2021-09-04,2021-10-07,33,Female,Mobile,90,46
86,Standard,16.49,2022-12-05,2023-06-25,53,Male,Laptop,30,369
87,Standard,16.49,2022-04-28,2023-04-02,29,Male,Desktop,60,491
88,Basic,5.99,2023-01-03,2023-07-18,16,Female,Laptop,60,89
89,Standard,16.49,2023-02-24,2023-07-02,18,Female,Mobile,30,653
90,Standard,16.49,2023-06-06,2023-07-29,48,Female,Laptop,60,92
91,Standard,16.49,2023-07-13,2023-07-23,26,Male,Mobile,90,248
92,Premium,20.99,2023-06-04,2023-07-28,33,Female,Mobile,90,189
93,Basic,5.99,2022-03-09,2023-06-13,74,Male,Smart TV,60,77
94,Basic,5.99,2022-03-21,2023-04-15,57,Female,Smart TV,60,47
95,Standard,16.49,2023-03-02,2023-03-15,20,Female,Tablet,30,73
96,Standard,16.49,2022-04-14,2022-07-15,13,Male,Laptop,90,77
97,Premium,20.99,2023-06-03,2023-06-20,99,Male,Mobile,90,509
98,Standard,16.49,2022-11-19,2023-04-13,20,Male,Smart TV,90,153
99,Basic,5.99,2021-11-06,2023-04-01,54,Male,Tablet,60,55
100,Standard,16.49,2022-05-23,2023-06-11,59,Male,Mobile,30,32
101,Standard,16.49,2022-06-10,2022-10-29,15,Other,Tablet,90,91
102,Basic,5.99,2022-12-21,2023-03-11,26,Female,Smart TV,90,69
103,Standard,16.49,2023-03-26,2023-06-21,28,Other,Tablet,90,124
104,Standard,16.49,2023-05-12,2023-07-25,48,Male,Mobile,90,64
105,Standard,16.49,2022-08-26,2023-02-18,15,Female,Laptop,30,94
106,Premium,20.99,2022-03-28,2023-02-10,23,Female,Mobile,60,36
107,Basic,5.99,2023-02-27,2023-03-03,20,Female,Mobile,90,2638
108,Standard,16.49,2023-07-05,2023-07-15,32,Male,Desktop,30,99
109,Premium,20.99,2021-10-20,2023-01-16,39,Female,Mobile,30,7
110,Standard,16.49,2023-02-05,2023-04-19,15,Male,Smart TV,30,774
111,Premium,20.99,2022-04-20,2023-01-23,24,Male,Mobile,90,86
112,Standard,16.49,2023-06-11,2023-06-15,27,Male,Laptop,60,1087
113,Premium,20.99,2022-02-27,2022-03-08,40,Male,Laptop,90,656
114,Basic,5.99,2022-06-11,2023-02-22,30,Female,Smart TV,30,88
115,Premium,20.99,2021-09-10,2022-08-20,15,Other,Laptop,90,292
116,Premium,20.99,2022-11-27,2023-06-26,28,Female,Smart TV,30,105
117,Standard,16.49,2022-08-22,2022-11-06,63,Male,Mobile,30,105
118,Premium,20.99,2021-10-30,2022-05-04,16,Female,Mobile,90,27
119,Premium,20.99,2021-09-25,2023-03-31,33,Male,Smart TV,90,445
120,Premium,20.99,2023-02-19,2023-03-04,31,Male,Smart TV,60,90
121,Basic,5.99,2022-12-30,2023-03-26,82,Other,Laptop,30,0
122,Basic,5.99,2021-08-13,2022-04-29,45,Other,Tablet,30,682
123,Basic,5.99,2022-11-11,2023-06-11,28,Male,Laptop,60,926
124,Premium,20.99,2021-12-28,2022-08-29,35,Male,Tablet,30,249
125,Basic,5.99,2022-09-20,2023-07-07,30,Other,Laptop,60,489
126,Basic,5.99,2023-02-14,2023-06-25,52,Other,Mobile,30,40
127,Basic,5.99,2022-04-21,2023-06-10,26,Male,Mobile,60,20
128,Basic,5.99,2022-04-11,2022-04-17,27,Female,Mobile,90,654
129,Basic,5.99,2021-09-26,2022-02-22,29,Female,Mobile,30,187
130,Premium,20.99,2021-10-16,2022-02-08,48,Female,Mobile,90,565
131,Premium,20.99,2021-08-21,2023-03-07,63,Other,Tablet,60,4117
132,Standard,16.49,2023-03-02,2023-06-18,16,Male,Laptop,90,62
133,Standard,16.49,2023-02-07,2023-05-09,68,Male,Tablet,30,315
134,Basic,5.99,2022-04-21,2023-06-13,32,Female,Tablet,90,45
135,Standard,16.49,2021-08-27,2023-01-24,27,Other,Tablet,60,380
136,Standard,16.49,2023-01-25,2023-04-09,64,Male,Mobile,30,19
137,Basic,5.99,2022-11-24,2023-05-10,14,Male,Smart TV,60,1345
138,Basic,5.99,2023-06-04,2023-06-05,20,Male,Tablet,60,415
139,Premium,20.99,2023-07-19,2023-07-19,28,Male,Mobile,30,104
140,Standard,16.49,2023-03-01,2023-06-14,52,Male,Laptop,90,574
141,Standard,16.49,2023-04-18,2023-05-05,98,Male,Laptop,60,112
142,Premium,20.99,2021-10-13,2022-03-14,34,Female,Laptop,30,586
143,Premium,20.99,2022-07-17,2022-09-16,21,Male,Tablet,60,142
144,Basic,5.99,2022-07-23,2022-12-23,58,Female,Laptop,60,5
145,Standard,16.49,2022-05-26,2022-10-26,14,Male,Tablet,60,82
146,Standard,16.49,2022-11-15,2022-11-27,28,Male,Smart TV,90,361
147,Standard,16.49,2023-06-10,2023-07-26,57,Female,Tablet,30,8
148,Premium,20.99,2021-11-09,2022-10-15,27,Female,Desktop,30,1927
149,Standard,16.49,2022-03-10,2022-03-10,35,Other,Desktop,90,28
150,Basic,5.99,2021-09-27,2021-10-22,20,Male,Mobile,30,307
151,Basic,5.99,2023-03-06,2023-05-03,30,Male,Mobile,90,68
152,Premium,20.99,2022-12-16,2023-03-23,41,Male,Smart TV,90,80
153,Premium,20.99,2023-04-11,2023-06-30,29,Female,Smart TV,60,107
154,Premium,20.99,2023-01-26,2023-03-01,23,Male,Laptop,30,109
155,Standard,16.49,2022-04-26,2023-06-21,29,Female,Tablet,60,59
156,Premium,20.99,2021-10-07,2022-07-03,27,Male,Laptop,60,294
157,Premium,20.99,2023-06-04,2023-06-11,37,Other,Laptop,90,330
158,Basic,5.99,2023-03-03,2023-04-02,17,Female,Desktop,30,3
159,Standard,16.49,2022-10-20,2023-03-22,74,Male,Tablet,90,7780
160,Premium,20.99,2021-10-07,2023-01-18,43,Female,Laptop,30,52
161,Premium,20.99,2022-08-09,2023-01-30,14,Male,Laptop,30,492
162,Basic,5.99,2021-09-06,2022-09-07,47,Female,Smart TV,30,76
163,Premium,20.99,2022-04-16,2022-05-26,32,Male,Smart TV,30,85
164,Basic,5.99,2023-05-06,2023-06-14,31,Male,Tablet,90,1182
165,Premium,20.99,2023-03-12,2023-03-31,30,Female,Desktop,90,166
166,Premium,20.99,2023-02-09,2023-07-25,40,Female,Laptop,30,11
167,Basic,5.99,2022-02-12,2023-06-08,26,Male,Mobile,30,204
168,Standard,16.49,2023-07-11,2023-07-21,34,Female,Laptop,60,4
169,Standard,16.49,2021-08-18,2023-04-24,27,Male,Laptop,60,2514
170,Premium,20.99,2023-06-29,2023-07-09,36,Female,Smart TV,30,50
171,Standard,16.49,2021-12-22,2022-11-03,38,Male,Smart TV,30,66
172,Basic,5.99,2023-04-17,2023-07-12,29,Male,Mobile,60,136
173,Standard,16.49,2023-07-24,2023-07-27,34,Male,Desktop,60,146
174,Basic,5.99,2021-08-06,2021-10-19,34,Female,Laptop,30,957
175,Premium,20.99,2022-05-23,2023-05-05,20,Male,Tablet,90,78
176,Premium,20.99,2023-05-18,2023-06-23,54,Male,Mobile,30,503
177,Premium,20.99,2022-09-14,2023-05-07,54,Male,Smart TV,60,236
178,Basic,5.99,2022-09-07,2023-07-18,33,Male,Tablet,30,93
179,Premium,20.99,2023-01-15,2023-04-15,36,Male,Tablet,30,109
180,Standard,16.49,2022-11-25,2023-01-05,32,Female,Mobile,60,686
181,Premium,20.99,2021-08-21,2023-01-16,20,Female,Smart TV,30,1
182,Standard,16.49,2021-12-26,2023-06-18,34,Female,Smart TV,30,3
183,Premium,20.99,2022-05-08,2022-08-15,29,Other,Desktop,60,457
184,Standard,16.49,2022-07-28,2023-07-27,23,Male,Desktop,30,17
185,Premium,20.99,2023-03-22,2023-04-18,74,Male,Tablet,30,44
186,Standard,16.49,2022-04-02,2023-07-01,39,Other,Mobile,30,73
187,Basic,5.99,2023-05-13,2023-05-14,14,Female,Desktop,30,68
188,Standard,16.49,2022-04-28,2022-12-07,32,Male,Smart TV,60,198
189,Basic,5.99,2022-04-10,2022-08-23,16,Other,Smart TV,30,124
190,Premium,20.99,2021-11-24,2022-08-10,35,Male,Mobile,90,497
191,Standard,16.49,2021-12-19,2023-03-09,37,Female,Desktop,90,107
192,Standard,16.49,2023-02-03,2023-07-29,31,Female,Laptop,30,60
193,Basic,5.99,2022-08-08,2022-10-31,19,Male,Desktop,60,73
194,Standard,16.49,2023-01-28,2023-07-04,81,Female,Mobile,60,121
195,Standard,16.49,2023-03-26,2023-03-30,26,Male,Mobile,60,54
196,Standard,16.49,2022-05-28,2023-02-13,48,Male,Mobile,30,901
197,Premium,20.99,2022-07-07,2022-09-19,59,Other,Smart TV,30,103
198,Standard,16.49,2023-05-20,2023-07-01,74,Male,Desktop,90,128
199,Standard,16.49,2023-07-15,2023-07-28,70,Male,Mobile,30,330
200,Standard,16.49,2022-05-08,2023-05-07,31,Male,Smart TV,60,224
201,Standard,16.49,2022-12-25,2023-01-16,14,Male,Tablet,30,26
202,Premium,20.99,2022-06-07,2022-07-26,15,Female,Laptop,30,181
203,Premium,20.99,2022-01-05,2023-01-20,16,Other,Tablet,60,178
204,Standard,16.49,2023-02-20,2023-03-06,25,Male,Mobile,30,67
205,Premium,20.99,2021-08-25,2023-05-28,58,Female,Smart TV,30,58
206,Standard,16.49,2023-07-14,2023-07-14,37,Other,Laptop,90,35
207,Basic,5.99,2022-12-20,2023-02-27,58,Other,Smart TV,90,168
208,Premium,20.99,2022-08-20,2023-05-17,82,Other,Mobile,60,786
209,Standard,16.49,2022-02-03,2023-04-27,28,Male,Laptop,60,20
210,Standard,16.49,2022-06-17,2023-05-14,17,Other,Tablet,90,7437
211,Basic,5.99,2022-02-04,2022-10-03,17,Female,Mobile,30,103
212,Basic,5.99,2023-05-26,2023-05-30,52,Other,Tablet,30,235
213,Premium,20.99,2023-06-21,2023-07-06,22,Male,Mobile,30,354
214,Premium,20.99,2021-08-20,2021-12-04,17,Other,Desktop,90,613
215,Premium,20.99,2022-05-08,2022-11-27,32,Male,Desktop,90,91
216,Basic,5.99,2023-03-02,2023-05-16,35,Male,Laptop,30,688
217,Standard,16.49,2023-07-14,2023-07-15,54,Male,Mobile,30,213
218,Standard,16.49,2022-09-06,2023-03-17,30,Other,Tablet,30,452
219,Standard,16.49,2022-05-05,2022-11-21,49,Male,Tablet,90,40
220,Premium,20.99,2022-04-20,2022-11-12,14,Female,Laptop,90,31
221,Standard,16.49,2022-01-28,2022-12-10,47,Other,Smart TV,30,236
222,Standard,16.49,2022-04-07,2022-11-07,38,Female,Smart TV,90,224
223,Premium,20.99,2023-04-28,2023-06-23,59,Male,Mobile,60,193
224,Standard,16.49,2022-07-25,2023-01-15,48,Male,Mobile,30,673
225,Standard,16.49,2022-05-23,2023-05-28,31,Other,Tablet,30,304
226,Premium,20.99,2023-07-02,2023-07-19,27,Male,Laptop,90,89
227,Basic,5.99,2022-11-21,2023-03-25,44,Male,Tablet,60,89
228,Basic,5.99,2023-03-04,2023-03-13,32,Male,Smart TV,90,218
229,Premium,20.99,2023-07-14,2023-07-26,37,Female,Laptop,30,625
230,Standard,16.49,2021-11-16,2022-11-18,29,Male,Laptop,90,150
231,Basic,5.99,2022-08-03,2022-09-14,55,Female,Mobile,30,52
232,Standard,16.49,2021-09-02,2022-07-22,64,Male,Mobile,30,613
233,Basic,5.99,2022-04-30,2023-07-21,43,Other,Smart TV,90,609
234,Standard,16.49,2022-08-12,2022-09-30,32,Male,Tablet,60,509
235,Basic,5.99,2021-12-16,2022-05-21,73,Female,Laptop,60,238
236,Standard,16.49,2022-05-27,2023-07-13,25,Female,Mobile,90,90
237,Standard,16.49,2022-07-24,2022-10-29,20,Female,Desktop,30,139
238,Standard,16.49,2021-11-21,2023-03-01,42,Male,Laptop,90,23
239,Basic,5.99,2022-01-28,2023-06-07,40,Male,Mobile,90,1411
240,Premium,20.99,2021-11-24,2023-02-04,62,Male,Tablet,60,117
241,Premium,20.99,2022-09-10,2023-01-22,15,Male,Smart TV,60,40
242,Premium,20.99,2021-09-07,2022-03-05,27,Female,Laptop,30,667
243,Standard,16.49,2021-12-11,2023-07-02,37,Male,Mobile,60,405
244,Premium,20.99,2021-12-25,2022-06-12,17,Male,Laptop,60,924
245,Standard,16.49,2022-05-05,2022-11-16,79,Male,Tablet,30,47
246,Standard,16.49,2023-07-26,2023-07-26,48,Male,Mobile,60,66
247,Standard,16.49,2021-10-14,2022-10-16,33,Female,Laptop,30,416
248,Premium,20.99,2023-07-03,2023-07-05,49,Female,Mobile,30,41
249,Standard,16.49,2021-09-21,2023-05-11,39,Male,Mobile,60,228
250,Standard,16.49,2022-01-28,2023-07-24,17,Male,Mobile,60,233
251,Premium,20.99,2022-04-08,2023-06-06,37,Other,Desktop,30,182
252,Basic,5.99,2023-04-29,2023-07-25,31,Female,Tablet,60,204
253,Standard,16.49,2021-11-20,2022-07-21,62,Male,Tablet,90,1030
254,Basic,5.99,2022-08-05,2023-04-08,56,Other,Tablet,30,124
255,Premium,20.99,2022-07-09,2023-06-11,26,Female,Tablet,90,1109
256,Standard,16.49,2022-12-22,2023-02-05,59,Male,Mobile,90,62
257,Premium,20.99,2022-06-29,2023-03-21,61,Female,Mobile,60,607
258,Basic,5.99,2022-06-19,2023-04-10,55,Female,Tablet,30,152
259,Standard,16.49,2023-06-06,2023-07-11,39,Female,Tablet,90,657
260,Standard,16.49,2021-09-26,2023-03-10,40,Female,Tablet,60,559
261,Basic,5.99,2021-11-28,2023-04-02,28,Male,Smart TV,30,118
262,Premium,20.99,2022-12-30,2023-03-22,28,Male,Smart TV,90,99
263,Standard,16.49,2022-07-10,2023-03-09,33,Male,Desktop,60,244
264,Standard,16.49,2022-07-14,2022-07-24,33,Female,Mobile,90,224
265,Premium,20.99,2022-09-27,2022-12-01,31,Other,Smart TV,30,105
266,Basic,5.99,2022-07-01,2022-08-25,15,Female,Tablet,30,175
267,Standard,16.49,2022-09-06,2023-04-18,16,Female,Laptop,30,390
268,Standard,16.49,2022-04-30,2022-07-12,53,Male,Smart TV,30,58
269,Basic,5.99,2022-04-12,2023-05-08,21,Male,Laptop,90,110
270,Basic,5.99,2022-08-10,2023-05-10,62,Female,Mobile,60,22
271,Premium,20.99,2022-01-30,2022-12-19,57,Male,Mobile,30,231
272,Standard,16.49,2023-05-10,2023-06-20,29,Female,Smart TV,30,620
273,Basic,5.99,2021-10-16,2022-06-30,26,Male,Mobile,60,11
274,Premium,20.99,2021-08-15,2023-04-18,30,Other,Mobile,30,22
275,Basic,5.99,2023-03-22,2023-06-27,26,Male,Tablet,30,461
276,Basic,5.99,2022-12-24,2023-01-07,55,Male,Desktop,30,229
277,Basic,5.99,2021-09-23,2023-02-18,31,Male,Smart TV,60,210
278,Premium,20.99,2022-03-30,2022-07-30,17,Female,Mobile,90,1143
279,Standard,16.49,2023-02-23,2023-03-23,30,Female,Mobile,30,467
280,Standard,16.49,2023-03-05,2023-04-23,19,Male,Smart TV,30,2448
281,Premium,20.99,2023-03-13,2023-05-25,44,Female,Desktop,60,80
282,Standard,16.49,2022-12-14,2023-04-07,48,Female,Tablet,60,54
283,Basic,5.99,2022-11-07,2023-04-25,55,Male,Smart TV,90,473
284,Standard,16.49,2022-12-29,2023-01-02,30,Male,Mobile,30,625
285,Basic,5.99,2022-06-04,2022-11-03,18,Male,Desktop,60,4
286,Standard,16.49,2023-06-09,2023-07-27,63,Male,Laptop,30,242
287,Standard,16.49,2022-12-31,2023-02-27,17,Female,Tablet,30,222
288,Basic,5.99,2022-08-18,2023-03-29,55,Male,Smart TV,30,11
289,Premium,20.99,2022-08-24,2023-01-30,22,Female,Laptop,90,90
290,Premium,20.99,2023-01-13,2023-02-21,31,Male,Mobile,60,38
291,Premium,20.99,2021-08-15,2022-11-21,27,Male,Mobile,60,66
292,Standard,16.49,2022-08-13,2022-10-13,39,Female,Mobile,30,4856
293,Standard,16.49,2022-12-06,2023-03-11,29,Other,Tablet,90,9526
294,Basic,5.99,2022-09-19,2022-09-20,26,Male,Smart TV,30,12
295,Standard,16.49,2022-02-01,2022-12-13,26,Female,Mobile,90,54
296,Basic,5.99,2023-07-15,2023-07-16,48,Male,Smart TV,30,218
297,Premium,20.99,2023-05-23,2023-07-18,59,Male,Laptop,60,82
298,Premium,20.99,2022-09-18,2023-06-29,18,Female,Mobile,60,173
299,Standard,16.49,2023-06-27,2023-07-19,19,Other,Laptop,30,436
300,Basic,5.99,2021-12-26,2023-05-05,55,Female,Mobile,60,139
301,Standard,16.49,2023-06-19,2023-07-04,44,Female,Smart TV,60,74
302,Standard,16.49,2021-09-21,2021-11-09,33,Female,Laptop,30,7203
303,Basic,5.99,2023-06-18,2023-07-26,22,Female,Laptop,30,203
304,Basic,5.99,2022-12-09,2023-01-23,31,Female,Tablet,60,185
305,Standard,16.49,2021-08-29,2021-09-12,43,Male,Laptop,60,3443
306,Premium,20.99,2023-04-27,2023-05-29,32,Female,Laptop,90,393
307,Standard,16.49,2021-08-26,2023-07-28,57,Other,Desktop,60,8191
308,Standard,16.49,2023-01-10,2023-05-07,49,Female,Tablet,60,69
309,Premium,20.99,2022-11-09,2023-05-06,13,Male,Smart TV,90,120
310,Standard,16.49,2022-12-10,2022-12-13,22,Female,Smart TV,30,73
311,Basic,5.99,2023-07-24,2023-07-29,69,Male,Laptop,30,74
312,Basic,5.99,2022-07-08,2022-10-09,51,Other,Smart TV,60,523
313,Premium,20.99,2022-10-15,2023-04-30,25,Male,Smart TV,30,58
314,Premium,20.99,2022-08-23,2022-12-01,51,Female,Mobile,30,115
315,Basic,5.99,2022-04-14,2023-05-23,45,Other,Smart TV,90,10
316,Premium,20.99,2023-04-15,2023-07-16,26,Male,Laptop,60,2806
317,Standard,16.49,2023-01-19,2023-03-14,30,Male,Smart TV,30,1322
318,Standard,16.49,2022-07-02,2023-06-15,18,Male,Smart TV,30,23
319,Premium,20.99,2022-09-06,2022-09-29,92,Male,Tablet,30,61
320,Standard,16.49,2022-01-30,2022-09-21,86,Female,Desktop,30,36
321,Basic,5.99,2023-05-02,2023-05-09,49,Male,Tablet,90,195
322,Standard,16.49,2022-11-23,2023-02-02,19,Female,Desktop,60,547
323,Standard,16.49,2021-10-18,2022-02-28,53,Female,Smart TV,30,82
324,Premium,20.99,2021-11-07,2022-05-23,26,Female,Smart TV,60,70
325,Premium,20.99,2022-12-21,2023-01-03,36,Female,Mobile,30,202
326,Premium,20.99,2022-09-23,2023-04-23,20,Other,Laptop,30,14
327,Standard,16.49,2022-07-28,2023-05-29,51,Male,Mobile,30,4947
328,Standard,16.49,2022-02-28,2022-05-09,28,Male,Smart TV,90,442
329,Premium,20.99,2023-06-28,2023-07-22,21,Female,Mobile,90,4
330,Standard,16.49,2022-05-06,2022-05-12,39,Female,Tablet,60,255
331,Basic,5.99,2022-08-08,2022-10-23,46,Male,Tablet,60,150
332,Basic,5.99,2021-12-21,2023-04-08,25,Female,Laptop,30,65
333,Standard,16.49,2022-10-22,2022-12-01,48,Male,Tablet,60,12
334,Premium,20.99,2023-06-14,2023-07-27,25,Female,Mobile,90,350
335,Standard,16.49,2023-07-08,2023-07-26,25,Female,Mobile,60,49
336,Premium,20.99,2022-09-14,2022-12-22,52,Male,Tablet,30,501
337,Basic,5.99,2021-10-25,2022-05-07,30,Female,Laptop,30,832
338,Basic,5.99,2021-10-14,2023-07-21,33,Other,Mobile,90,94
339,Basic,5.99,2023-06-22,2023-07-26,33,Other,Smart TV,30,89
340,Premium,20.99,2022-05-23,2022-05-30,50,Female,Mobile,90,9
341,Basic,5.99,2023-04-24,2023-04-25,58,Female,Mobile,90,176
342,Premium,20.99,2023-03-03,2023-05-24,34,Female,Mobile,30,1150
343,Standard,16.49,2022-08-09,2022-11-16,18,Female,Laptop,90,78
344,Basic,5.99,2021-08-19,2021-09-13,26,Other,Mobile,30,117
345,Basic,5.99,2021-10-19,2022-04-06,57,Female,Laptop,60,126
346,Basic,5.99,2022-11-29,2023-03-27,67,Male,Smart TV,30,117
347,Premium,20.99,2021-12-02,2023-01-17,24,Female,Mobile,60,106
348,Standard,16.49,2021-10-25,2023-01-22,14,Female,Tablet,60,124
349,Standard,16.49,2021-09-28,2022-12-14,20,Female,Smart TV,30,170
350,Premium,20.99,2023-04-24,2023-04-29,25,Female,Laptop,60,44
351,Premium,20.99,2022-08-14,2022-10-02,48,Male,Laptop,60,448
352,Basic,5.99,2022-12-16,2023-04-10,64,Female,Mobile,30,1384
353,Premium,20.99,2022-11-20,2023-01-18,66,Male,Tablet,90,100
354,Premium,20.99,2022-09-06,2023-06-14,25,Male,Mobile,60,265
355,Basic,5.99,2021-10-15,2023-04-29,25,Male,Mobile,90,99
356,Premium,20.99,2023-05-05,2023-07-28,43,Female,Desktop,30,194
357,Standard,16.49,2021-09-25,2021-12-31,87,Female,Smart TV,60,161
358,Standard,16.49,2022-06-14,2022-10-10,31,Female,Mobile,60,1182
359,Premium,20.99,2023-03-12,2023-04-17,33,Male,Mobile,30,96
360,Basic,5.99,2023-07-26,2023-07-29,49,Female,Mobile,30,60
361,Premium,20.99,2021-09-03,2023-01-13,29,Female,Mobile,60,1098
362,Standard,16.49,2023-06-18,2023-06-30,18,Female,Laptop,60,57
